Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,,,
17.21273804,22.82949434,93,-11.90351154,23,0,0,1620,,,,,
17.24380064,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
17.27565765,19.76284585,84,-11.20330497,25,-1,0,1680,,,,,
17.30752468,20.10358457,85,-10.85320169,26,0,1,1620,,,,,
17.33973789,20.10358457,85,-11.20330497,25,0,-1,1560,,,,,
17.37178755,20.10358457,85,-11.20330497,25,0,0,1620,,,,,
17.40373969,19.42210713,83,-10.85320169,26,0,0,1620,,,,,
17.43578696,22.82949434,93,-11.20330497,25,0,0,1620,,,,,
17.46787572,25.21466539,100,-11.20330497,25,0,0,1620,,,,,
17.4998734,21.80727818,90,-11.20330497,25,0,0,1620,,,,,
17.53190565,20.44432329,86,-11.20330497,25,0,1,1620,,,,,
17.56388617,19.76284585,84,-10.85320169,26,0,0,1680,,,,,
17.59569359,18.39989096,80,-11.20330497,25,0,0,1620,,,,,
17.62763119,19.42210713,83,-11.20330497,25,0,0,1620,,,,,
17.65991187,19.76284585,84,-11.20330497,25,0,1,1620,,,,,
17.69193888,21.46653946,89,-11.20330497,25,0,0,1620,,,,,
17.72383332,23.17023307,94,-10.85320169,26,0,0,1680,,,,,
17.75603366,24.19244923,97,-11.20330497,25,0,0,1620,,,,,
17.78805804,22.82949434,93,-11.20330497,25,-1,1,1620,,,,,
17.82009697,20.44432329,86,-10.85320169,26,0,0,1620,,,,,
17.85202837,19.08136841,82,-11.20330497,25,-1,0,1680,,,,,
17.8841114,19.76284585,84,-11.20330497,25,0,0,1620,,,,,
17.91641188,18.05915224,79,-11.20330497,25,1,0,1620,,,,,
17.94816327,18.74062969,81,-11.20330497,25,0,0,1620,,,,,
17.97996974,21.80727818,90,-11.20330497,25,0,0,1620,,,,,
18.01345205,23.51097179,95,-10.85320169,26,-1,0,1620,,,,,
18.04417253,23.85171051,96,-11.20330497,25,0,1,1620,,,,,
18.07622647,21.46653946,89,-11.20330497,25,1,0,1620,,,,,
18.10825062,19.08136841,82,-11.55340826,24,0,0,1620,,,,,
18.14029169,21.12580074,88,-11.55340826,24,0,-1,1620,,,,,
18.17213464,19.76284585,84,-10.50309841,27,0,0,1680,,,,,
18.20431709,17.71841352,78,-11.20330497,25,0,0,1620,,,,,
18.23635149,20.78506201,87,-10.85320169,26,0,1,1680,,,,,
18.26839828,24.53318795,98,-11.20330497,25,-1,0,1620,,,,,
18.30042648,23.51097179,95,-11.55340826,24,0,0,1620,,,,,
18.33250785,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
18.36463237,20.10358457,85,-11.20330497,25,0,0,1680,,,,,
18.39650822,20.10358457,85,-11.20330497,25,0,0,1680,,,,,
18.42835665,21.46653946,89,-10.85320169,26,0,0,1680,,,,,
18.46024847,20.44432329,86,-11.20330497,25,0,-1,1620,,,,,
18.4925499,18.74062969,81,-11.20330497,25,0,1,1680,,,,,
18.52474785,20.78506201,87,-11.20330497,25,0,-1,1620,,,,,
18.55654073,23.17023307,94,-10.85320169,26,-1,0,1620,,,,,
18.58853507,22.48875562,92,-10.85320169,26,0,0,1620,,,,,
18.62062907,22.82949434,93,-11.20330497,25,-1,1,1620,,,,,
18.6524682,22.48875562,92,-11.20330497,25,-1,-1,1620,,,,,
18.68468642,20.78506201,87,-11.20330497,25,0,1,1620,,,,,
18.71671295,19.76284585,84,-10.50309841,27,0,0,1680,,,,,
18.74872065,20.10358457,85,-11.55340826,24,0,0,1680,,,,,
18.78081083,18.39989096,80,-11.20330497,25,0,0,1620,,,,,
18.81441855,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
18.86078358,21.12580074,88,-10.85320169,26,0,0,1620,,,,,
