Time Since Start, Front, Front ADC, Back, Back ADC, RPM ,,,,
20.95765162,-0.340738722,56,7.70227217,48,1560,,,,
20.98969841,0,57,7.002065609,46,1560,,,,
21.0216825,0,57,6.301859048,44,1560,,,,
21.05375242,0,57,8.752582012,51,1560,,,,
21.08573389,0.340738722,58,8.752582012,51,1620,,,,
21.11777639,0,57,8.402478731,50,1620,,,,
21.14984679,0.340738722,58,8.752582012,51,1560,,,,
21.1818552,0.681477443,59,8.752582012,51,1560,,,,
21.21381164,0,57,6.651962329,45,1560,,,,
21.24556947,0.340738722,58,7.70227217,48,1620,,,,
21.27766109,0.681477443,59,8.052375451,49,1620,,,,
21.30988026,0,57,8.402478731,50,1620,,,,
21.34195423,0,57,8.402478731,50,1560,,,,
21.37395167,0,57,8.402478731,50,1560,,,,
21.40738654,-0.340738722,56,7.35216889,47,1620,,,,
21.45399594,0,57,7.70227217,48,1620,,,,
21.48603988,0,57,9.102685292,52,1620,,,,
21.51805663,-0.681477443,55,8.052375451,49,1620,,,,
21.54999971,-0.340738722,56,6.651962329,45,1620,,,,
21.58203149,0,57,6.651962329,45,1560,,,,
21.61406112,0.681477443,59,8.752582012,51,1560,,,,
21.64609194,0.340738722,58,8.402478731,50,1560,,,,
21.67812371,0,57,7.70227217,48,1560,,,,
21.71015596,0.340738722,58,7.70227217,48,1560,,,,
21.7582078,0,57,8.402478731,50,1560,,,,
21.79018807,0,57,8.402478731,50,1620,,,,
21.82226086,0,57,9.452788573,53,1620,,,,
21.85485768,0.340738722,58,9.102685292,52,1560,,,,
21.88626099,0,57,8.752582012,51,1560,,,,
21.93433976,0,57,8.052375451,49,1560,,,,
21.96627855,0.340738722,58,6.651962329,45,1500,,,,
21.99841595,0.681477443,59,7.002065609,46,1620,,,,
22.03022003,-0.340738722,56,7.35216889,47,1560,,,,
22.06238174,0.681477443,59,8.052375451,49,1560,,,,
22.09459782,0,57,8.402478731,50,1560,,,,
22.12624836,0,57,8.752582012,51,1560,,,,
22.15860319,-0.340738722,56,8.402478731,50,1620,,,,
22.19053292,0,57,7.70227217,48,1620,,,,
22.22252774,0.681477443,59,7.002065609,46,1620,,,,
22.25558829,0.340738722,58,7.70227217,48,1560,,,,
22.30252886,0,57,7.70227217,48,1620,,,,
22.33460617,-0.681477443,55,7.002065609,46,1560,,,,
22.36656046,0,57,7.70227217,48,1560,,,,
22.39887023,0,57,7.70227217,48,1560,,,,
22.4306891,0,57,8.752582012,51,1560,,,,
22.46265268,-1.022216165,54,7.70227217,48,1560,,,,
22.49468207,0,57,8.752582012,51,1560,,,,
22.5269444,0.340738722,58,7.35216889,47,1560,,,,
22.55887198,0,57,8.052375451,49,1620,,,,
22.59083295,-0.681477443,55,7.70227217,48,1560,,,,
22.63880944,-0.681477443,55,8.752582012,51,1560,,,,
22.67082047,0,57,8.752582012,51,1560,,,,
22.70285177,0,57,8.052375451,49,1560,,,,
22.7348814,0,57,8.752582012,51,1560,,,,
22.7668848,-0.340738722,56,8.752582012,51,1560,,,,
22.79887366,0,57,8.752582012,51,1560,,,,
22.83072853,0.340738722,58,7.70227217,48,1500,,,,
22.8629787,0.681477443,59,7.70227217,48,1560,,,,
22.89498162,0.340738722,58,8.402478731,50,1560,,,,
22.9270494,0,57,8.402478731,50,1560,,,,
22.95886707,0,57,9.452788573,53,1560,,,,
22.99077487,0.340738722,58,9.802891853,54,1560,,,,
23.02294612,0,57,8.752582012,51,1560,,,,
23.05515361,0,57,8.052375451,49,1560,,,,
23.0884583,0,57,7.70227217,48,1560,,,,
23.11916327,0.340738722,58,8.402478731,50,1560,,,,
23.15116334,0.340738722,58,8.402478731,50,1500,,,,
23.18318939,0.340738722,58,8.402478731,50,1560,,,,
23.21526623,0,57,9.102685292,52,1500,,,,
23.24723768,0.340738722,58,8.752582012,51,1560,,,,
23.27928972,0,57,10.15299513,55,1560,,,,
23.3112874,-0.681477443,55,8.752582012,51,1500,,,,
23.34335232,0,57,8.052375451,49,1560,,,,
23.37512851,1.022216165,60,9.102685292,52,1560,,,,
23.40707016,0,57,9.452788573,53,1560,,,,
23.43913245,0.340738722,58,9.802891853,54,1560,,,,
23.4714787,0,57,8.752582012,51,1620,,,,
23.50344968,0.340738722,58,8.052375451,49,1560,,,,
23.53543186,-0.340738722,56,8.402478731,50,1560,,,,
23.56750345,-0.681477443,55,8.752582012,51,1620,,,,
23.59949374,-0.340738722,56,8.052375451,49,1620,,,,
