Time Since Start, Startboard, Port, Front, Back, RPM 
28.90967059,25,81,92,0,7620
28.94090652,25,84,73,1,7620
28.98775172,25,84,78,1,7620
29.01900911,25,85,91,2,7620
29.06588364,27,82,69,1,7740
29.09714174,25,83,85,1,7740
29.128438,25,84,86,1,7740
29.15969014,25,84,67,1,7620
29.19092393,26,83,91,1,7740
29.22217155,25,81,80,0,7740
29.25344801,25,85,70,1,7740
29.28470135,25,83,92,1,7500
29.31595349,25,85,74,2,7620
29.34720635,25,80,77,1,7620
29.3784585,25,84,92,1,7620
29.40971136,25,84,68,1,7740
29.44094443,25,84,84,2,7740
29.47219658,25,82,87,1,7740
29.50346851,26,82,68,1,7740
29.5347209,25,85,89,1,7620
29.56597376,25,82,80,1,7620
29.59722567,25,85,71,2,7620
29.64405513,25,81,91,1,7620
29.67531824,25,83,73,1,7620
29.70658588,25,84,77,2,7740
29.73783827,25,85,92,1,7740
29.76911497,26,82,68,0,7620
29.80036974,25,81,83,1,7620
29.83161974,25,84,87,1,7740
29.86287236,25,82,67,1,7620
29.89412498,25,84,89,1,7620
29.92537808,25,81,80,0,7620
29.95660639,25,83,70,1,7620
29.98783684,25,83,92,1,7620
30.01913619,25,86,73,2,7740
30.05038762,26,82,77,2,7620
30.08164072,25,83,92,1,7620
30.11289287,25,84,68,1,7620
30.14414692,25,83,84,1,7740
30.17539835,26,85,87,1,7620
30.20662642,25,81,68,1,7740
30.23785567,24,85,89,1,7620
30.28473234,25,83,81,1,7620
30.31598926,26,85,70,2,7740
30.34724307,25,82,92,1,7620
30.37851763,25,83,75,1,7740
30.40979409,25,85,77,2,7500
30.44104457,25,84,91,1,7620
30.47227859,26,83,68,2,7740
30.50350523,25,81,82,0,7740
30.53480387,25,85,87,1,7620
30.56605506,26,83,67,1,7740
30.59730721,25,85,88,2,7620
30.62855935,25,82,81,1,7620
30.65981507,25,85,69,1,7620
30.69106507,25,85,92,1,7500
30.72229314,26,84,75,1,7620
30.75354743,25,83,79,1,7620
30.78482437,25,82,92,1,7620
30.81607509,27,85,69,1,7620
30.84732723,26,84,81,1,7620
30.87857938,25,85,87,1,7620
30.92541313,25,82,67,1,7620
30.9410851,26,84,89,1,7620
30.98791337,25,84,81,1,7620
31.01917577,25,85,70,1,7620
31.05044842,25,83,93,1,7620
31.08172131,25,82,76,1,7740
31.11297369,25,85,76,1,7740
31.14422584,25,85,91,1,7740
31.17545915,24,85,69,1,7740
31.20668411,26,81,82,0,7920
31.2379601,25,84,89,1,7620
31.26923656,25,84,68,1,7740
31.30048919,25,84,89,1,7740
31.33174086,25,83,82,1,7620
31.36299419,25,82,69,1,7620
31.39424658,25,85,93,2,7620
31.42549896,26,82,75,1,7620
31.45673108,25,85,75,1,7740
31.487957,25,81,93,1,7620
31.5192368,25,84,70,2,7740
31.55050945,25,84,82,1,7740
31.59733772,25,85,87,1,7620
31.62859559,25,83,67,1,7920
31.65985155,25,82,88,0,7620
31.69110203,25,85,82,1,7620
31.72239232,25,82,69,1,7620
31.75362682,26,84,92,1,7620
31.78490329,25,81,75,1,7740
31.81615615,25,84,75,2,7620
31.84739113,25,83,92,1,7620
31.87866068,27,85,69,1,7740
31.90991354,25,83,80,0,7500
31.94116545,25,82,88,1,7620
31.97236776,25,85,68,2,7740
32.00363898,25,83,88,1,7740
32.03492355,25,84,82,2,7620
32.06617594,25,81,69,1,7620
32.09742761,25,84,92,1,7620
32.12868071,25,83,76,1,7620
32.15993357,25,85,75,2,7620
32.19113874,25,82,93,1,7620
32.23801494,25,83,69,1,7740
32.2692728,25,85,80,1,7620
32.30052042,25,83,89,1,7620
32.33178091,26,83,68,1,7620
32.36305451,25,81,88,0,7740
32.39432764,25,84,83,1,7620
32.4255805,25,83,69,1,7620
32.45681262,25,85,91,1,7740
32.48806453,25,82,75,1,7620
32.51933718,25,83,74,1,7500
32.55058932,25,85,93,2,7620
32.58184266,24,84,70,1,7740
32.61309481,25,82,80,1,7620
32.64434743,25,81,88,1,7740
32.67560053,25,85,68,1,7500
32.70685291,25,83,88,1,7740
32.73808122,25,85,84,1,7500
32.76933789,25,83,69,0,7620
32.80061102,25,84,92,1,7620
32.83186316,25,84,76,1,7740
32.87869191,25,85,74,1,7620
32.9099915,25,83,92,1,7740
32.94125295,25,82,70,0,7620
32.9725287,25,85,81,1,7740
33.00378275,25,83,90,1,7620
33.03505659,25,85,69,1,7620
33.06631017,25,81,87,0,7740
33.09756279,26,84,84,1,7620
33.12881446,25,84,68,1,7740
33.16016078,25,84,90,1,7740
33.19141436,25,83,76,1,7620
33.2226665,25,81,74,0,7500
33.25389528,25,85,92,1,7620
33.28517151,24,83,70,1,7620
33.31642342,25,84,81,1,7620
33.34767628,25,81,90,0,7620
33.37892866,25,84,69,1,7740
33.41018248,25,84,88,2,7620
33.44143414,25,85,85,1,7740
33.47266793,25,83,69,1,7620
33.51951909,25,82,91,0,7740
33.53519249,26,84,77,1,7740
33.58204842,26,83,74,1,7620
33.61339641,25,84,93,1,7620
33.64464903,25,81,71,1,7740
33.67592359,25,84,80,1,7620
33.70717597,25,84,90,1,7740
33.73842239,25,85,68,2,7620
33.76974344,26,82,88,1,7500
33.80114079,25,83,85,1,7620
33.83239341,24,84,69,1,7620
33.86364603,25,83,91,1,7620
33.89489818,25,84,77,1,7740
33.92615175,25,81,74,1,7620
33.95740366,25,85,92,1,7620
33.9886322,25,83,71,1,7740
34.01988006,26,86,79,1,7620
34.05116105,25,82,90,0,7740
34.08241391,26,83,68,0,7500
34.11366558,26,85,86,1,7500
34.14491844,25,84,85,2,7740
34.19175053,25,83,68,1,7740
34.20742345,25,81,92,1,7500
34.25427246,25,85,77,2,7500
34.28550506,25,83,73,1,7740
34.316787,25,86,92,1,7620
34.34806013,25,82,71,1,7620
34.37931252,25,84,80,0,7740
34.41056514,25,85,91,1,7620
34.44182038,25,84,69,1,7500
34.47306943,25,83,86,1,7620
34.5043056,25,82,85,1,7740
